Date,Open,High,Low,Close,Volume,Adj Close
2014-11-13,46.25,46.28,45.03,45.50,5394600,44.29
2014-11-12,46.62,46.79,45.78,45.90,5402900,44.68
2014-11-11,46.97,47.03,46.20,46.71,5129600,45.47
2014-11-10,46.46,47.22,46.46,47.10,4787900,45.85
2014-11-07,46.70,46.92,46.05,46.53,6812000,45.29
2014-11-06,46.50,47.67,46.00,46.51,7239300,45.28
2014-11-05,45.48,46.28,45.00,46.28,7172200,45.05
2014-11-04,45.80,46.14,44.81,44.99,7793400,43.80
2014-11-03,47.29,47.62,46.55,46.75,5067500,45.50
2014-10-31,48.00,48.10,47.08,47.42,10086700,46.16
2014-10-30,46.85,47.19,45.53,46.99,9025000,45.74
2014-10-29,46.28,46.94,45.94,46.40,6680300,45.16
2014-10-28,45.25,45.68,44.85,45.49,7921600,44.28
2014-10-27,45.62,45.62,44.19,44.44,5041000,43.25
2014-10-24,45.54,45.67,44.58,44.85,6716800,43.66
2014-10-23,44.34,45.97,43.69,45.81,8145200,44.59
2014-10-22,44.44,44.65,43.81,44.59,7685600,43.40
2014-10-21,42.00,44.42,41.97,44.42,8533600,43.24
2014-10-20,43.81,44.00,42.62,42.94,8604900,41.80
2014-10-17,43.04,44.51,42.62,44.15,13064600,42.98
2014-10-16,43.15,43.47,40.56,42.56,13602600,41.42
2014-10-15,44.57,44.57,42.66,42.76,12360400,41.62
2014-10-14,44.83,45.07,43.85,44.77,7008100,43.58
2014-10-13,44.26,45.49,44.10,45.16,5881800,43.96
2014-10-10,45.81,45.98,44.60,44.60,8819200,43.41
2014-10-09,47.35,47.40,45.83,46.29,6166500,45.06
2014-10-08,47.12,47.42,46.55,46.74,6003900,45.49
2014-10-07,48.24,48.33,47.22,47.22,7795100,45.96
2014-10-06,49.12,49.14,47.92,48.35,4785700,47.06
2014-10-03,49.06,49.26,48.21,48.51,6032000,47.22
2014-10-02,50.81,50.81,48.19,48.19,9415000,46.90
2014-10-01,51.00,51.29,50.35,50.71,4811100,49.36
2014-09-30,50.78,51.74,50.62,51.45,7246800,50.08
2014-09-29,50.77,50.89,50.04,50.31,3842200,48.97
2014-09-26,49.75,50.99,49.51,50.73,5976400,49.38
2014-09-25,50.20,50.26,49.25,49.57,6147100,48.25
2014-09-24,48.90,50.27,48.82,50.17,5280700,48.83
2014-09-23,49.62,49.65,48.47,48.76,6386100,47.46
2014-09-22,49.87,50.88,49.50,50.13,5083300,48.20
2014-09-19,49.97,50.27,49.54,50.04,9344800,48.11
2014-09-18,49.96,50.10,49.61,49.99,4734500,48.07
2014-09-17,50.24,50.31,49.87,49.94,3700100,48.02
2014-09-16,49.55,49.96,49.28,49.87,4438700,47.95
2014-09-15,49.41,49.65,49.08,49.44,4519500,47.54
2014-09-12,50.24,50.31,49.69,50.03,2547400,48.10
2014-09-11,50.50,50.60,49.63,50.17,4183100,48.24
2014-09-10,50.51,50.79,50.21,50.29,3465400,48.35
2014-09-09,51.00,51.10,50.39,50.50,3432600,48.56
2014-09-08,51.35,51.43,50.71,50.84,3163200,48.88
2014-09-05,51.84,51.84,51.03,51.41,4011000,49.43
2014-09-04,50.35,52.09,49.97,51.77,7589600,49.78
2014-09-03,49.99,50.68,49.81,50.45,4281900,48.51
2014-09-02,50.54,50.71,49.69,49.87,3891800,47.95
2014-09-01,50.28,50.62,50.18,50.54,2816100,48.60
2014-08-29,49.72,50.25,49.63,50.19,4845100,48.26
2014-08-28,49.67,49.87,49.29,49.58,4979600,47.67
2014-08-27,50.03,50.09,49.44,49.74,3634200,47.83
2014-08-26,49.22,50.06,48.93,50.03,4624500,48.10
2014-08-25,48.63,49.26,48.29,49.26,4315400,47.36
2014-08-22,48.92,48.92,47.50,47.92,5945300,46.07
2014-08-21,48.40,48.99,48.01,48.97,4839600,47.09
2014-08-20,48.34,48.50,47.72,48.35,3726800,46.49
2014-08-19,48.03,48.33,47.86,48.25,3357900,46.39
2014-08-18,47.99,48.10,47.46,47.81,4632000,45.97
2014-08-15,48.10,48.40,47.15,47.33,6940300,45.51
2014-08-14,47.97,48.13,47.40,47.88,4506300,46.04
2014-08-13,48.00,48.29,47.76,48.06,3942200,46.21
2014-08-12,48.66,48.67,47.58,47.80,5622000,45.96
