BBG,date,spot,flag
FP FP,2014-11-13,45.5,close
FP FP,2014-11-12,45.9,close
FP FP,2014-11-11,46.71,close
FP FP,2014-11-10,47.1,close
FP FP,2014-11-07,46.53,close
FP FP,2014-11-06,46.51,close
FP FP,2014-11-05,46.28,close
FP FP,2014-11-04,44.99,close
FP FP,2014-11-03,46.75,close
FP FP,2014-10-31,47.42,close
FP FP,2014-10-30,46.99,close
FP FP,2014-10-29,46.4,close
FP FP,2014-10-28,45.49,close
FP FP,2014-10-27,44.44,close
FP FP,2014-10-24,44.85,close
FP FP,2014-10-23,45.81,close
FP FP,2014-10-22,44.59,close
FP FP,2014-10-21,44.42,close
FP FP,2014-10-20,42.94,close
FP FP,2014-10-17,44.15,close
FP FP,2014-10-16,42.56,close
FP FP,2014-10-15,42.76,close
FP FP,2014-10-14,44.77,close
FP FP,2014-10-13,45.16,close
FP FP,2014-10-10,44.6,close
FP FP,2014-10-09,46.29,close
FP FP,2014-10-08,46.74,close
FP FP,2014-10-07,47.22,close
FP FP,2014-10-06,48.35,close
FP FP,2014-10-03,48.51,close
FP FP,2014-10-02,48.19,close
FP FP,2014-10-01,50.71,close
FP FP,2014-09-30,51.45,close
FP FP,2014-09-29,50.31,close
FP FP,2014-09-26,50.73,close
FP FP,2014-09-25,49.57,close
FP FP,2014-09-24,50.17,close
FP FP,2014-09-23,48.76,close
FP FP,2014-09-22,50.13,close
FP FP,2014-09-19,50.04,close
FP FP,2014-09-18,49.99,close
FP FP,2014-09-17,49.94,close
FP FP,2014-09-16,49.87,close
FP FP,2014-09-15,49.44,close
FP FP,2014-09-12,50.03,close
FP FP,2014-09-11,50.17,close
FP FP,2014-09-10,50.29,close
FP FP,2014-09-09,50.5,close
FP FP,2014-09-08,50.84,close
FP FP,2014-09-05,51.41,close
FP FP,2014-09-04,51.77,close
FP FP,2014-09-03,50.45,close
FP FP,2014-09-02,49.87,close
FP FP,2014-09-01,50.54,close
FP FP,2014-08-29,50.19,close
FP FP,2014-08-28,49.58,close
FP FP,2014-08-27,49.74,close
FP FP,2014-08-26,50.03,close
FP FP,2014-08-25,49.26,close
FP FP,2014-08-22,47.92,close
FP FP,2014-08-21,48.97,close
FP FP,2014-08-20,48.35,close
FP FP,2014-08-19,48.25,close
FP FP,2014-08-18,47.81,close
FP FP,2014-08-15,47.33,close
FP FP,2014-08-14,47.88,close
FP FP,2014-08-13,48.06,close
FP FP,2014-08-12,47.8,close
FP FP,2014-08-11,48.89,close
